,city,state,males,females,lat,lng,state_name,city_state
776,Guerneville,CA,2,0,38.5115445,-122.987034159778,California,"Guerneville, California"
777,Hacienda Heights,CA,1,2,34.0022074,-117.97839946992599,California,"Hacienda Heights, California"
778,Hawthorne,CA,2,0,33.9140135,-118.344055566788,California,"Hawthorne, California"
779,Hayward,CA,7,0,37.6688205,-122.0807964,California,"Hayward, California"
780,Hemet,CA,4,3,33.722095,-117.00651901451401,California,"Hemet, California"
781,Highland Park,CA,1,0,34.1099469,-118.1969828,California,"Highland Park, California"
782,Hilmar,CA,1,0,37.4085479,-120.8502035,California,"Hilmar, California"
783,Hollywood,CA,2,0,34.1028268,-118.3299899,California,"Hollywood, California"
784,Humboldt County,CA,1,0,40.7335541,-123.879211498361,California,"Humboldt County, California"
785,Hunter's Point,CA,1,0,37.727029,-122.3589769,California,"Hunter's Point, California"
786,Huntington Beach,CA,4,0,33.6920535,-117.999249145138,California,"Huntington Beach, California"
787,Huntington Park,CA,1,0,33.9816812,-118.2250725,California,"Huntington Park, California"
788,Imperial,CA,2,0,32.7892118,-114.5559618,California,"Imperial, California"
789,Indio,CA,2,0,33.74385575,-116.197037830001,California,"Indio, California"
790,Inglewood,CA,8,3,33.9616801,-118.3531311,California,"Inglewood, California"
791,Ingot,CA,2,0,40.7276534,-122.0791666,California,"Ingot, California"
792,Irvine,CA,1,1,33.6862707,-117.8258199,California,"Irvine, California"
793,Ivanhoe,CA,1,0,36.385024,-119.220297914299,California,"Ivanhoe, California"
794,Jurupa Valley,CA,3,0,33.9798472,-117.4515754,California,"Jurupa Valley, California"
795,Kelseyville,CA,1,0,38.9779531,-122.8394375,California,"Kelseyville, California"
796,Kerman,CA,1,0,36.7221815,-120.06246080492001,California,"Kerman, California"
797,Kern County,CA,1,0,35.2934231,-118.720389325669,California,"Kern County, California"
798,King City,CA,4,1,36.226628,-121.15856737655001,California,"King City, California"
799,La Crescenta,CA,1,0,34.2239835,-118.2403974,California,"La Crescenta, California"
800,La Mesa,CA,1,0,32.7678288,-117.0230839,California,"La Mesa, California"
801,La Miranda,CA,1,0,40.2345864,-123.8236457,California,"La Miranda, California"
802,La Puente,CA,2,0,34.0331365,-117.95219057523501,California,"La Puente, California"
803,La Verne,CA,1,0,34.1008426,-117.7678355,California,"La Verne, California"
804,Laguna Hills,CA,1,0,33.65719445,-117.349398959129,California,"Laguna Hills, California"
805,Laguna Niguel,CA,1,0,33.5225261,-117.7075526,California,"Laguna Niguel, California"
806,Lake Elsinore,CA,1,1,33.6680772,-117.3272615,California,"Lake Elsinore, California"
807,Lake Merritt,CA,2,0,37.8045934,-122.25626697537399,California,"Lake Merritt, California"
808,Lakewood,CA,2,0,33.84713195,-118.13358826692499,California,"Lakewood, California"
809,Lancaster,CA,2,1,34.6998995,-118.18736247758301,California,"Lancaster, California"
810,Lawndale,CA,1,0,33.88711,-118.3531481,California,"Lawndale, California"
811,Le Grand,CA,1,0,37.217724,-120.257260197963,California,"Le Grand, California"
812,Le Mesa,CA,1,0,32.7678288,-117.0230839,California,"Le Mesa, California"
813,Littlerock,CA,1,0,34.52139,-117.98739187439199,California,"Littlerock, California"
814,Live Oak,CA,2,0,36.990384,-121.978753299844,California,"Live Oak, California"
815,Livermore,CA,1,0,37.731528,-121.731063,California,"Livermore, California"
816,Livingston,CA,1,0,37.3868826,-120.7235329,California,"Livingston, California"
817,Long Beach,CA,29,4,33.7774658,-118.1884871,California,"Long Beach, California"
818,Los Angeles,CA,286,17,34.0501713,-118.2419714,California,"Los Angeles, California"
819,Los Angeles ,CA,1,0,34.0536781,-118.2427025,California,"Los Angeles , California"
820,Los Angeles County,CA,1,0,34.24140515,-118.145520591821,California,"Los Angeles County, California"
821,Los Banos,CA,3,0,37.0655625,-120.841982360549,California,"Los Banos, California"
822,Los Feliz,CA,1,0,34.1043459,-118.2914281,California,"Los Feliz, California"
823,Lynwood,CA,3,0,33.925251,-118.20351423892599,California,"Lynwood, California"
824,Madera,CA,5,0,36.942141,-120.171452075392,California,"Madera, California"
825,Madera County,CA,1,0,37.2705719,-119.63570949574101,California,"Madera County, California"
826,Magalia,CA,2,0,39.8121058,-121.5783059,California,"Magalia, California"
827,Marin City,CA,1,0,37.868538,-122.5091404,California,"Marin City, California"
828,Marina Del Rey,CA,1,0,33.9753235,-118.445647631934,California,"Marina Del Rey, California"
829,Maywood,CA,2,0,33.98833675,-118.18842963824899,California,"Maywood, California"
830,McFarland,CA,2,0,35.677856,-119.22931289991502,California,"McFarland, California"
831,Menifee,CA,2,2,33.6864432,-117.1770437,California,"Menifee, California"
832,Merced,CA,2,0,37.3029568,-120.4843269,California,"Merced, California"
833,Merced County,CA,1,0,37.1869636,-120.60942637015499,California,"Merced County, California"
834,Milpitas,CA,1,0,37.43143895,-121.88526595373399,California,"Milpitas, California"
835,Modesto,CA,12,2,37.636724,-120.90148524417,California,"Modesto, California"
836,Monrovia,CA,1,0,34.201558,-118.1734475,California,"Monrovia, California"
837,Montclair,CA,2,0,34.07171275,-117.697687709851,California,"Montclair, California"
838,Monterey,CA,1,0,36.5845085,-121.86681901043801,California,"Monterey, California"
839,Moreno Valley,CA,5,1,33.921961,-117.200107316579,California,"Moreno Valley, California"
840,Mount Hope,CA,1,0,32.7142185,-117.1075309,California,"Mount Hope, California"
841,Murphys,CA,2,1,38.148332,-120.4505355,California,"Murphys, California"
842,Napa,CA,1,0,38.32377705,-122.3355205746,California,"Napa, California"
843,National City,CA,1,0,32.6781085,-117.0991967,California,"National City, California"
844,Newark,CA,1,0,37.521024,-122.026348406922,California,"Newark, California"
845,Newport Beach,CA,1,1,33.6170092,-117.9294401,California,"Newport Beach, California"
846,Norco,CA,1,0,33.9277225,-117.55562230361099,California,"Norco, California"
847,Norwalk,CA,1,0,33.9164121,-118.0718578,California,"Norwalk, California"
848,Oak View,CA,1,0,34.397523,-119.30022889575001,California,"Oak View, California"
849,Oakdale,CA,1,0,37.7665947,-120.8471545,California,"Oakdale, California"
850,Oakland,CA,71,14,37.8043808,-122.2708166,California,"Oakland, California"
851,Oceanside,CA,2,1,33.1958696,-117.3794834,California,"Oceanside, California"
852,Ontario,CA,3,0,34.0633443,-117.6508876,California,"Ontario, California"
853,Orange,CA,3,1,33.7878549,-117.8530908,California,"Orange, California"
854,Orange County,CA,1,0,33.6671869,-117.720593399723,California,"Orange County, California"
855,Orange Cove,CA,1,0,36.606639,-119.33436230299601,California,"Orange Cove, California"
856,Orangevale,CA,2,0,38.6841725,-121.218464482522,California,"Orangevale, California"
857,Orosi,CA,1,1,36.5473593,-119.28924846950198,California,"Orosi, California"
858,Oroville,CA,3,1,39.4900785,-121.564487694774,California,"Oroville, California"
859,Oxnard,CA,7,3,34.1975048,-119.1770516,California,"Oxnard, California"
860,Pacific Palisades,CA,2,0,34.0480643,-118.5264706,California,"Pacific Palisades, California"
861,Palermo,CA,2,0,39.435057,-121.53525892371201,California,"Palermo, California"
862,Palm Desert,CA,1,1,33.7404645,-116.36910557863199,California,"Palm Desert, California"
863,Palmdale,CA,5,1,34.585428,-118.124321485448,California,"Palmdale, California"
864,Palmetto,CA,1,0,33.7453584,-117.7771984,California,"Palmetto, California"
865,Palo Alto,CA,1,0,37.442156,-122.1634472,California,"Palo Alto, California"
866,Paramount,CA,2,0,33.8992926,-118.16494983911501,California,"Paramount, California"
867,Pasadena,CA,5,0,34.18455365,-118.17355987325399,California,"Pasadena, California"
868,Paso Robles,CA,1,0,35.6267654,-120.6912456,California,"Paso Robles, California"
869,Patterson,CA,1,0,37.471623,-121.1296949,California,"Patterson, California"
870,Perris,CA,5,0,33.7919875,-117.22433591306499,California,"Perris, California"
871,Pico Rivera,CA,1,0,33.9830688,-118.096735,California,"Pico Rivera, California"
872,Pittsburg,CA,2,1,38.021408,-121.885031239909,California,"Pittsburg, California"
873,Pixley,CA,2,0,35.9685649,-119.2917785,California,"Pixley, California"
874,Placentia,CA,1,0,33.8722371,-117.8703363,California,"Placentia, California"
875,Placerville,CA,1,0,38.730703,-120.796312705405,California,"Placerville, California"
876,Planada,CA,3,0,37.2884235,-120.324810120105,California,"Planada, California"
877,Pomona,CA,27,2,34.0552886,-117.7522793,California,"Pomona, California"
878,Port Hueneme,CA,1,0,34.159363,-119.20256088376699,California,"Port Hueneme, California"
879,Porterville,CA,6,1,36.0625905,-118.982960627645,California,"Porterville, California"
880,Portola,CA,1,0,39.8194815,-120.467319215198,California,"Portola, California"
881,Rancho Cordova,CA,2,0,38.5676485,-121.223249320424,California,"Rancho Cordova, California"
882,Rancho Cucamonga,CA,1,0,34.1242304,-117.565564610376,California,"Rancho Cucamonga, California"
883,Red Bluff,CA,2,0,40.182967,-122.241172753813,California,"Red Bluff, California"
884,Redding,CA,2,0,40.5018995,-122.385954041643,California,"Redding, California"
885,Redlands,CA,1,0,34.072662,-117.093417,California,"Redlands, California"
886,Redondo Beach,CA,3,0,33.8491816,-118.3884078,California,"Redondo Beach, California"
887,Reseda,CA,1,0,34.2389212,-118.5293248,California,"Reseda, California"
888,Rialto,CA,3,0,34.1064001,-117.3703235,California,"Rialto, California"
889,Richmond,CA,13,1,37.9357576,-122.3477486,California,"Richmond, California"
890,Ridgecrest,CA,1,1,35.6225064,-117.6699414,California,"Ridgecrest, California"
891,Rio Linda,CA,1,0,38.687172,-121.459356635708,California,"Rio Linda, California"
892,Riverside,CA,8,0,33.9458443,-117.410096815875,California,"Riverside, California"
893,Rocklin,CA,1,0,38.7907339,-121.2357828,California,"Rocklin, California"
894,Rodeo,CA,2,0,38.028345,-122.23742410596901,California,"Rodeo, California"
895,Rolando,CA,1,0,33.081472,-117.040067,California,"Rolando, California"
896,Rosemead,CA,1,1,34.0676169,-118.0879763,California,"Rosemead, California"
897,Rosemont,CA,1,0,38.5475445,-121.35650671371599,California,"Rosemont, California"
898,Roseville,CA,1,0,38.7233728,-121.18587581810301,California,"Roseville, California"
899,Sacramento,CA,37,4,38.5815719,-121.4943996,California,"Sacramento, California"
900,Salinas,CA,26,2,36.6604725,-121.684426752882,California,"Salinas, California"
901,San Bernardino,CA,32,0,34.1083449,-117.2897652,California,"San Bernardino, California"
902,San Bruno,CA,1,0,37.6230195,-122.42898208687201,California,"San Bruno, California"
903,San Diego,CA,24,5,32.7469869,-117.21177,California,"San Diego, California"
904,San Francisco,CA,32,3,37.7789601,-122.419199,California,"San Francisco, California"
905,San Jacinto,CA,5,0,33.794793,-117.006396015464,California,"San Jacinto, California"
906,San Jose,CA,24,4,37.3438502,-121.8831349,California,"San Jose, California"
907,San Leandro,CA,3,0,37.704815,-122.167537362919,California,"San Leandro, California"
908,San Lorenzo,CA,3,1,37.673615,-122.131930042425,California,"San Lorenzo, California"
909,San Marcos,CA,1,0,33.1433723,-117.1661449,California,"San Marcos, California"
910,San Mateo,CA,1,0,37.5446217,-122.3091165,California,"San Mateo, California"
911,San Pablo,CA,1,0,37.9650335,-122.34696712438101,California,"San Pablo, California"
912,San Pedro,CA,1,0,33.7358518,-118.2922934,California,"San Pedro, California"
913,San Ysidro,CA,1,0,32.5520013,-117.0430813,California,"San Ysidro, California"
914,Sanger,CA,1,0,36.708006,-119.5559652,California,"Sanger, California"
915,Santa Ana,CA,8,2,33.7490525,-117.8620053,California,"Santa Ana, California"
916,Santa Barbara,CA,2,0,34.3999755,-119.70302254930701,California,"Santa Barbara, California"
917,Santa Clarita,CA,1,1,34.3916641,-118.542586,California,"Santa Clarita, California"
918,Santa Cruz,CA,4,1,36.97588665,-122.033772667443,California,"Santa Cruz, California"
919,Santa Fe Springs,CA,1,0,33.9472359,-118.0853451,California,"Santa Fe Springs, California"
920,Santa Maria,CA,1,0,34.9323829,-120.45379356539301,California,"Santa Maria, California"
921,Santa Monica,CA,6,2,34.008617,-118.49475403379499,California,"Santa Monica, California"
922,Santa Paula,CA,2,2,34.3554985,-119.064954691622,California,"Santa Paula, California"
923,Santa Rosa,CA,4,0,38.367814,-122.76598019449,California,"Santa Rosa, California"
924,Saratoga,CA,1,0,37.2661735,-122.02578163707399,California,"Saratoga, California"
925,Seaside,CA,1,0,36.62581365,-121.817032663508,California,"Seaside, California"
926,Seven Oaks,CA,1,0,34.1863979,-116.914197,California,"Seven Oaks, California"
927,Shingletown,CA,1,3,40.502371,-121.873318455686,California,"Shingletown, California"
928,Simi Valley,CA,4,3,34.2657598,-118.73134641753599,California,"Simi Valley, California"
929,Skyline,CA,1,0,32.74169715,-116.95241405981001,California,"Skyline, California"
930,Sonoma,CA,1,0,37.8761542,-122.238687263807,California,"Sonoma, California"
931,South El Monte,CA,1,0,34.0488705,-118.045758102388,California,"South El Monte, California"
932,South Gate,CA,3,0,33.93820895,-118.18781501539301,California,"South Gate, California"
933,South Lake Tahoe,CA,2,0,38.92880455,-119.987831498967,California,"South Lake Tahoe, California"
934,Stanton,CA,2,1,33.7947696,-117.99507215753,California,"Stanton, California"
935,Stockton,CA,20,2,37.9577016,-121.2907796,California,"Stockton, California"
936,Suisun City,CA,2,0,38.2475585,-122.007411375716,California,"Suisun City, California"
937,Sun Valley,CA,1,0,34.2175042,-118.3703576,California,"Sun Valley, California"
938,Sunnyvale,CA,3,0,37.3688301,-122.0363496,California,"Sunnyvale, California"
939,Temecula,CA,2,1,33.49358875,-117.11743150652201,California,"Temecula, California"
940,Templeton,CA,1,0,35.5606196,-120.700717473692,California,"Templeton, California"
941,Thornton,CA,1,0,38.2260268,-121.4246733,California,"Thornton, California"
942,Thousand Palms,CA,1,0,33.7517195,-116.2731592,California,"Thousand Palms, California"
943,Three Rivers,CA,2,0,36.420443,-118.88029263368401,California,"Three Rivers, California"
944,Tollhouse,CA,1,0,37.018838,-119.3992957,California,"Tollhouse, California"
945,Torrance,CA,2,0,33.8358492,-118.3406288,California,"Torrance, California"
946,Tulare,CA,5,0,35.6521754,-118.3224811,California,"Tulare, California"
947,Tulare County,CA,2,0,36.26992445,-118.7962660625,California,"Tulare County, California"
948,Turlock,CA,4,0,37.501842,-120.845998000566,California,"Turlock, California"
949,Tustin,CA,1,0,33.7458511,-117.826166,California,"Tustin, California"
950,Twentynine Palms,CA,1,0,34.16476,-116.036562499,California,"Twentynine Palms, California"
951,Union City,CA,6,0,37.5907215,-122.017324013925,California,"Union City, California"
952,Vacaville,CA,2,0,38.34234285,-121.90154500471,California,"Vacaville, California"
953,Valinda,CA,1,0,34.0384525,-117.933557519603,California,"Valinda, California"
954,Vallejo,CA,20,5,38.114559,-122.231476112523,California,"Vallejo, California"
955,Valley Center,CA,1,1,33.2183701,-117.0341967,California,"Valley Center, California"
956,Van Nuys,CA,2,0,34.1865032,-118.4489363,California,"Van Nuys, California"
957,Ventura,CA,5,0,34.270273,-119.242605355028,California,"Ventura, California"
958,Ventura County,CA,2,0,34.240837,-118.6369332,California,"Ventura County, California"
959,Victorville,CA,7,0,34.5406414,-117.341067557552,California,"Victorville, California"
960,Visalia,CA,9,1,36.3302284,-119.2920585,California,"Visalia, California"
961,Vista,CA,1,0,33.2000368,-117.2425355,California,"Vista, California"
962,Walnut Creek,CA,1,0,37.894375,-122.03643881063499,California,"Walnut Creek, California"
963,Wasco,CA,2,0,35.5941238,-119.3409457,California,"Wasco, California"
964,Waterford,CA,1,0,37.63976,-120.758464956439,California,"Waterford, California"
965,Watsonville,CA,3,0,36.88707915,-121.78540016467501,California,"Watsonville, California"
966,Watts,CA,1,0,33.9405674,-118.2428485,California,"Watts, California"
967,Weed,CA,1,0,41.41327,-122.387635996861,California,"Weed, California"
968,West Oakland,CA,1,0,37.80485795,-122.295167674084,California,"West Oakland, California"
969,Westmont,CA,2,0,33.945206,-118.298403217178,California,"Westmont, California"
970,Whittier,CA,8,1,34.0270245,-118.055008936061,California,"Whittier, California"
971,Willowbrook,CA,3,0,33.9169602,-118.2550726,California,"Willowbrook, California"
972,Wilmington,CA,2,0,33.780018,-118.2625711,California,"Wilmington, California"
973,Windsor,CA,1,0,38.532455,-122.76033958544501,California,"Windsor, California"
974,Winnetka,CA,1,0,34.2133375,-118.5720309,California,"Winnetka, California"
975,Woodlake,CA,1,0,36.4110775,-119.093757762045,California,"Woodlake, California"
976,Yorba Linda,CA,1,0,33.890981,-117.773014058691,California,"Yorba Linda, California"
977,Yuba City,CA,2,0,39.1404477,-121.6169108,California,"Yuba City, California"
978,Yuba County,CA,1,0,39.27887435,-121.438477528395,California,"Yuba County, California"
979,Yucaipa,CA,2,0,34.0407185,-117.051676166367,California,"Yucaipa, California"
980,Yucca Valley,CA,1,0,34.13471065,-116.413682243759,California,"Yucca Valley, California"
981,Annapolis,CA,0,1,38.7218559,-123.3697306,California,"Annapolis, California"
982,Chino,CA,0,1,34.0133561,-117.690075,California,"Chino, California"
983,French Camp,CA,0,1,37.8764182,-121.271755995002,California,"French Camp, California"
984,Hanford,CA,0,1,36.2940205,-119.676475172905,California,"Hanford, California"
985,Joshua Tree,CA,0,1,34.126735,-116.32106299401698,California,"Joshua Tree, California"
986,Ladera Ranch,CA,0,1,33.5712292,-117.635624,California,"Ladera Ranch, California"
987,Laguna Nigel,CA,0,1,38.83024945,-121.091482240731,California,"Laguna Nigel, California"
988,Mad River,CA,0,1,40.4139261,-123.4730396,California,"Mad River, California"
989,Montebello,CA,0,1,34.009457,-118.1053467,California,"Montebello, California"
990,Northridge,CA,0,1,34.2285918,-118.5369316,California,"Northridge, California"
991,Paradise,CA,0,1,39.763452,-121.60678915304399,California,"Paradise, California"
992,Quincy,CA,0,1,39.9310755,-120.95349594037,California,"Quincy, California"
993,Redwood City,CA,0,1,37.4852152,-122.2363548,California,"Redwood City, California"
994,San Gabriel,CA,0,1,34.0938138,-118.09757569586701,California,"San Gabriel, California"
995,San Onofre,CA,0,1,33.3803575,-117.5736037,California,"San Onofre, California"
996,Taft,CA,0,1,35.125984,-119.41178786518199,California,"Taft, California"
997,Tarzana,CA,0,1,34.1494848,-118.5506158,California,"Tarzana, California"
998,Temple City,CA,0,1,34.1031775,-118.052829032497,California,"Temple City, California"
999,Winters,CA,0,1,38.5249065,-121.9708017,California,"Winters, California"
1000,Acosta,PA,1,0,40.1103542,-79.0689168,Pennsylvania,"Acosta, Pennsylvania"
1001,Adams,PA,1,0,39.8708972,-77.2395963,Pennsylvania,"Adams, Pennsylvania"
1002,Allegheny Township,PA,1,0,40.4356765,-80.0041917933408,Pennsylvania,"Allegheny Township, Pennsylvania"
1003,Allentown,PA,9,1,40.6022032,-75.4716219,Pennsylvania,"Allentown, Pennsylvania"
1004,Altoona,PA,3,0,40.518681,-78.394736,Pennsylvania,"Altoona, Pennsylvania"
1005,Ambridge,PA,1,0,40.5892339,-80.22506,Pennsylvania,"Ambridge, Pennsylvania"
1006,Archbald,PA,1,0,41.4948038,-75.5368521,Pennsylvania,"Archbald, Pennsylvania"
1007,Ashville,PA,2,2,40.5600684,-78.5486289,Pennsylvania,"Ashville, Pennsylvania"
1008,Avella,PA,1,0,40.2750705,-80.4606226,Pennsylvania,"Avella, Pennsylvania"
1009,Barree,PA,2,0,40.5853461,-78.1005628,Pennsylvania,"Barree, Pennsylvania"
1010,Beaver County,PA,1,1,40.6680585,-80.3341342359723,Pennsylvania,"Beaver County, Pennsylvania"
1011,Beaver Falls,PA,1,0,40.7520097,-80.3192295,Pennsylvania,"Beaver Falls, Pennsylvania"
1012,Beltzhoover,PA,1,0,40.4197915,-80.0019974,Pennsylvania,"Beltzhoover, Pennsylvania"
1013,Bessemer,PA,1,1,40.1281278,-79.5550387,Pennsylvania,"Bessemer, Pennsylvania"
1014,Bethel Park,PA,1,0,40.3275697,-80.0394977,Pennsylvania,"Bethel Park, Pennsylvania"
1015,Bethlehem,PA,2,1,40.6178915,-75.3786521,Pennsylvania,"Bethlehem, Pennsylvania"
1016,Blair County,PA,3,1,40.4870748,-78.3682329,Pennsylvania,"Blair County, Pennsylvania"
1017,Bloomfield,PA,1,0,40.4179085,-77.1898027488888,Pennsylvania,"Bloomfield, Pennsylvania"
1018,Braddock,PA,1,0,40.4034024,-79.8683824,Pennsylvania,"Braddock, Pennsylvania"
1019,Bucks County,PA,1,1,40.3285875,-75.1299237574973,Pennsylvania,"Bucks County, Pennsylvania"
1020,Caln,PA,1,0,39.9909398,-75.7802235,Pennsylvania,"Caln, Pennsylvania"
1021,Canton,PA,1,1,41.656464,-76.8532927,Pennsylvania,"Canton, Pennsylvania"
1022,Carlisle,PA,1,0,40.201824,-77.1893888,Pennsylvania,"Carlisle, Pennsylvania"
1023,Carrick,PA,1,0,40.3964583,-79.9903303,Pennsylvania,"Carrick, Pennsylvania"
1024,Catasauqua,PA,1,0,40.6548191,-75.4746273,Pennsylvania,"Catasauqua, Pennsylvania"
1025,Chambersburg,PA,2,1,39.9405903,-77.6598624,Pennsylvania,"Chambersburg, Pennsylvania"
1026,Chanceford,PA,1,1,39.9725187,-76.7483657,Pennsylvania,"Chanceford, Pennsylvania"
1027,Cheltenham,PA,1,0,40.0609445,-75.0940625,Pennsylvania,"Cheltenham, Pennsylvania"
1028,Chester,PA,15,1,39.849557,-75.3557458,Pennsylvania,"Chester, Pennsylvania"
1029,Clairton,PA,1,0,40.292292,-79.881715,Pennsylvania,"Clairton, Pennsylvania"
1030,Clymer,PA,1,0,40.6681213,-79.0116985,Pennsylvania,"Clymer, Pennsylvania"
1031,Columbia,PA,1,0,41.0389186,-76.4191791,Pennsylvania,"Columbia, Pennsylvania"
1032,Conewago,PA,1,0,40.1581491,-76.660246,Pennsylvania,"Conewago, Pennsylvania"
1033,Danielsville,PA,1,1,40.7945388,-75.5271292,Pennsylvania,"Danielsville, Pennsylvania"
1034,Darby,PA,1,0,39.9184461,-75.2590721,Pennsylvania,"Darby, Pennsylvania"
1035,Duquesne,PA,2,0,40.3814581,-79.8597708,Pennsylvania,"Duquesne, Pennsylvania"
1036,East Berlin,PA,1,1,39.937597,-76.9785892,Pennsylvania,"East Berlin, Pennsylvania"
1037,East Fallowfield,PA,1,0,40.4111493,-80.0230862,Pennsylvania,"East Fallowfield, Pennsylvania"
1038,East Hills,PA,1,0,40.6584314,-75.3432351,Pennsylvania,"East Hills, Pennsylvania"
1039,East Huntingdon,PA,1,0,40.1444301,-79.582819,Pennsylvania,"East Huntingdon, Pennsylvania"
1040,East Liberty,PA,1,0,40.4620685,-79.9239522,Pennsylvania,"East Liberty, Pennsylvania"
1041,Easton,PA,3,1,40.6916081,-75.2099866,Pennsylvania,"Easton, Pennsylvania"
1042,Ellwood City,PA,1,0,40.8617303,-80.2864515,Pennsylvania,"Ellwood City, Pennsylvania"
1043,Erie,PA,3,0,42.129461,-80.085239,Pennsylvania,"Erie, Pennsylvania"
1044,Fairless Hills,PA,1,0,40.1795537,-74.8551644,Pennsylvania,"Fairless Hills, Pennsylvania"
1045,Fairmount,PA,1,0,39.9522975,-75.190211,Pennsylvania,"Fairmount, Pennsylvania"
1046,Fayette,PA,1,0,39.921022,-79.6663803,Pennsylvania,"Fayette, Pennsylvania"
1047,Forty Fort,PA,1,1,41.2789699,-75.8782519,Pennsylvania,"Forty Fort, Pennsylvania"
1048,Forward,PA,1,0,40.1314667,-78.8647451,Pennsylvania,"Forward, Pennsylvania"
1049,Frankford,PA,1,0,40.0281674,-75.084896,Pennsylvania,"Frankford, Pennsylvania"
1050,Freeland,PA,1,1,41.0167508,-75.8971431,Pennsylvania,"Freeland, Pennsylvania"
1051,Garfield,PA,1,0,40.46868,-79.9386628,Pennsylvania,"Garfield, Pennsylvania"
1052,Germantown,PA,1,0,40.0434449,-75.1801775,Pennsylvania,"Germantown, Pennsylvania"
1053,Grantville,PA,1,1,40.377867,-76.6463566,Pennsylvania,"Grantville, Pennsylvania"
1054,Hampden,PA,1,0,40.215999,-76.997987,Pennsylvania,"Hampden, Pennsylvania"
1055,Hanover,PA,1,0,39.8063247,-76.9842735,Pennsylvania,"Hanover, Pennsylvania"
1056,Harrisburg,PA,15,2,40.2663107,-76.8861122,Pennsylvania,"Harrisburg, Pennsylvania"
1057,Harrisburgh,PA,1,0,40.2737002,-76.8844179,Pennsylvania,"Harrisburgh, Pennsylvania"
1058,Hazelwood,PA,1,0,40.4131664,-79.9391633,Pennsylvania,"Hazelwood, Pennsylvania"
1059,Hazleton,PA,2,0,40.9646867,-75.9852789,Pennsylvania,"Hazleton, Pennsylvania"
1060,Hempfield,PA,2,1,40.0548193,-76.4388523,Pennsylvania,"Hempfield, Pennsylvania"
1061,Highspire,PA,1,0,40.2111133,-76.7902453,Pennsylvania,"Highspire, Pennsylvania"
1062,Hilltown,PA,1,0,40.3421681,-75.255433,Pennsylvania,"Hilltown, Pennsylvania"
1063,Homer City,PA,1,0,40.5434007,-79.1622566,Pennsylvania,"Homer City, Pennsylvania"
1064,Homestead,PA,3,0,40.4059025,-79.9119948,Pennsylvania,"Homestead, Pennsylvania"
1065,Homewood,PA,7,0,40.813953,-80.32923,Pennsylvania,"Homewood, Pennsylvania"
1066,Horton,PA,2,1,41.6050664,-77.8413829,Pennsylvania,"Horton, Pennsylvania"
1067,Hunting Park,PA,1,0,40.016501,-75.1437876,Pennsylvania,"Hunting Park, Pennsylvania"
1068,Huntingdon,PA,2,1,40.4847959,-78.0102813,Pennsylvania,"Huntingdon, Pennsylvania"
1069,Jefferson,PA,1,0,41.1125398,-79.0163349,Pennsylvania,"Jefferson, Pennsylvania"
1070,Jim Thorpe,PA,1,0,40.8759235,-75.7324127,Pennsylvania,"Jim Thorpe, Pennsylvania"
1071,Johnstown,PA,3,0,40.3267407,-78.9219698,Pennsylvania,"Johnstown, Pennsylvania"
1072,Kennedy,PA,1,0,41.680071,-77.4283124,Pennsylvania,"Kennedy, Pennsylvania"
1073,Kensington,PA,3,0,39.9859458,-75.1318429,Pennsylvania,"Kensington, Pennsylvania"
1074,Kingsessing,PA,1,0,39.9522975,-75.190211,Pennsylvania,"Kingsessing, Pennsylvania"
1075,Lamar,PA,1,0,41.0161767,-77.5311034,Pennsylvania,"Lamar, Pennsylvania"
1076,Lancaster,PA,3,1,40.03997225,-76.3064177339532,Pennsylvania,"Lancaster, Pennsylvania"
1077,Lancaster County,PA,1,0,40.01846345,-76.23365284664641,Pennsylvania,"Lancaster County, Pennsylvania"
1078,Larimer,PA,2,0,40.4625688,-79.9083841,Pennsylvania,"Larimer, Pennsylvania"
1079,Latrobe,PA,1,0,40.3211808,-79.3794811,Pennsylvania,"Latrobe, Pennsylvania"
1080,Lebanon,PA,2,1,40.3465499,-76.4283812,Pennsylvania,"Lebanon, Pennsylvania"
1081,Lehman,PA,2,0,41.3170249,-76.0224235,Pennsylvania,"Lehman, Pennsylvania"
1082,Liberty Twp,PA,1,0,41.0652675,-77.62306752628609,Pennsylvania,"Liberty Twp, Pennsylvania"
1083,Lititz,PA,1,0,40.1571272,-76.3071674,Pennsylvania,"Lititz, Pennsylvania"
1084,Lower Paxton,PA,1,0,40.3187547,-76.7862453,Pennsylvania,"Lower Paxton, Pennsylvania"
1085,Lower Pottsgrove,PA,1,0,40.2509313,-75.5929597,Pennsylvania,"Lower Pottsgrove, Pennsylvania"
1086,Mahanoy City,PA,1,1,40.8125881,-76.1416034,Pennsylvania,"Mahanoy City, Pennsylvania"
1087,Malvern,PA,1,0,40.036202,-75.5138959,Pennsylvania,"Malvern, Pennsylvania"
1088,Manchester,PA,1,1,40.0595131,-76.7229552,Pennsylvania,"Manchester, Pennsylvania"
1089,Manheim,PA,1,0,40.1637359,-76.3952429,Pennsylvania,"Manheim, Pennsylvania"
1090,Manheim Township ,PA,1,0,40.1637359,-76.3952429,Pennsylvania,"Manheim Township , Pennsylvania"
1091,Mattawana,PA,1,1,40.4961865,-77.7294372,Pennsylvania,"Mattawana, Pennsylvania"
1092,McKeesport,PA,4,1,40.3478472,-79.864215,Pennsylvania,"McKeesport, Pennsylvania"
